entry,exit,window,eligible,excluded,paired_open_mean,paired_open_cash,delta_mean,delta_cash,opening_stops,bar_stops,delayed,saved_losses,spoiled_winners,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5,no_stop_common,stop_vs_no_stop_mean,stop_vs_no_stop_cash
WF_ENTRY,0935_S1,2022,41,0,-0.2754934584011606,-1162.441988549964,0.041364081120463705,169.74298605000635,1,8,0,6,3,41,-0.23412937728069685,-0.2019046280748102,39.02439024390244,-992.6990024999577,0.4672388745279966,0.43736556222148665,-1.562323861056031,-1.4237242605192837,-1229.5713115499739,5.0,12.0,1.0,18.0,811.5140025000001,0.07383199981252932,-0.29270960696488374,-0.43922849227490846,-0.56177215748269,-1556.7452966499645,9.0,3.0,-0.0746270290533457,-0.2870804612680186,41.0,-0.04443933546579875,-179.7273913499962
WF_ENTRY,0935_S1,2023,94,0,-0.10113955971320625,-2400.8848826998296,0.01089645270230342,-1727.923306150004,19,28,0,11,8,94,-0.09024310701090285,-0.9051274576403299,35.1063829787234,-4128.808188849834,0.8941195998710979,0.7418884084359421,-3.874407134905013,-3.3291655453198765,-7284.460875349942,8.0,11.0,1.0,8.0,2548.0531888500004,0.1584218766296832,-0.1954477573104942,-0.43871840957540775,-0.6480299492407744,-8934.46531399984,47.0,21.0,0.09171882772555638,-0.26666798482871323,94.0,-0.16252410303664525,-3225.3042411500087
WF_ENTRY,0935_S1,2024,17,0,0.4533182498135479,1711.3595472000366,0.09713886876990348,159.83844079999807,3,3,0,0,0,17,0.5504571185834513,0.9604694470957523,52.94117647058824,1871.1979880000347,2.042343009161281,2.0526624066803194,-2.1581693891468636,-2.1581693891468636,-692.0129530499953,3.0,5.0,1.0,7.0,349.142012,0.7542253604274708,0.38883373028743345,-0.2565332901691831,-1.2811316735766114,-524.4904274999753,6.0,8.0,1.387903177813363,0.6026668051159264,17.0,0.06937788478655649,139.8586357000004
WF_ENTRY,0935_S1,2025,11,0,0.45208766659445027,-880.3299455689469,0.17610243397622077,1538.214927790003,3,2,0,2,1,11,0.6281901005706709,-0.5498262714243535,36.36363636363637,657.8849822210561,1.8356627184112944,1.1399781278776482,-2.4712443687321075,-2.4712443687321075,-2473.5258418139547,3.0,3.0,1.0,3.0,438.320017779,0.8171881966332318,-0.15566582136081042,-1.348342636488251,-2.4712443687321075,-4603.286483891964,5.0,3.0,2.4083867756304222,-0.5498262714243535,11.0,-0.07038010299986207,-509.41601057700984
WF_ENTRY,0935_S1,2026,9,0,0.3805616087601201,1608.03585156605,-0.16635386107497052,-948.9121765649945,3,1,0,0,1,9,0.2142077476851495,-0.24063360357939606,33.33333333333333,659.1236750010553,1.2591283154538346,1.1436528917396844,-3.084037157135793,-3.084037157135793,-2880.943286111984,3.0,1.0,1.0,2.0,428.88132499900007,0.3938520039276577,-0.44634318920259614,-1.7633472748957941,,-4344.56560775698,4.0,3.0,2.3054731080822295,,9.0,-0.2153251780006994,-1188.6373580129987
WF_ENTRY,0935_S2,main2022,172,0,-0.02731349621673617,-1124.2614180526548,0.11685279563497766,4274.092318783013,10,18,0,26,13,172,0.08953929941824149,-0.24183281397842188,41.86046511627907,3149.8309007303587,1.1298571885672029,1.117701648185084,-3.874407134905013,-2.978108159272784,-6088.741665149941,7.0,32.0,5.0,38.0,4580.23409927,0.3406681380275716,0.03337409432214286,-0.12661680347944193,-0.2594463905410786,-7312.086893961663,51.0,43.0,0.19427840310204716,-0.025316496067669603,172.0,-0.01944638347132063,119.9050814679897
WF_ENTRY,0935_S2,early2022_2023,135,0,-0.1540914844999183,-3563.3268712497934,0.11433172823576034,1227.6172843000038,7,15,0,22,11,135,-0.03975975626415797,-0.287811908755857,40.0,-2335.7095869497903,0.9433297980476182,0.8618234137449319,-3.874407134905013,-3.035384558226736,-6088.741665149941,7.0,23.0,2.0,26.0,3362.37458695,0.22712770521289438,-0.1123981825859136,-0.27638964222190576,-0.4146125315631103,-7141.366712099798,40.0,28.0,0.08675585100721588,-0.154278606097987,135.0,-0.03247917783459472,-619.2340281000043
WF_ENTRY,0935_S2,recent2024,37,0,0.43525483941109044,2439.0654531971395,0.12605128479428407,3046.475034483009,3,3,0,4,2,37,0.5613061242053745,-0.009709384968299185,48.64864864864865,5485.540487680148,1.8696297603199254,1.5564927674743319,-3.084037157135793,-2.7776407629339506,-2880.943286111984,4.0,9.0,3.0,12.0,1217.85951232,0.7549372847838266,0.341710479880927,-0.1479638113226053,-0.5629151641362954,-4426.954148311877,11.0,15.0,1.0263573856086652,0.2718617696872245,37.0,0.02810570407035511,739.1391095679938
WF_ENTRY,0935_S2,2022,41,0,-0.2754934584011606,-1162.441988549964,0.08580341658626246,349.4703774000026,0,0,0,6,3,41,-0.1896900418148981,-0.2019046280748102,39.02439024390244,-812.9716111499615,0.5198021264072573,0.4869705941247828,-1.563974443762244,-1.469508611204862,-1049.843920199978,5.0,12.0,1.0,18.0,811.69661115,0.11838424383763664,-0.24715928811243998,-0.3886170268833043,-0.502997552511795,-1377.0179052999683,6.0,3.0,-0.027434806529672316,-0.23227658995020437,41.0,0.0,0.0
WF_ENTRY,0935_S2,2023,94,0,-0.10113955971320625,-2400.8848826998296,0.12677492799777534,878.146906900001,7,15,0,16,8,94,0.025635368284569148,-0.30958664776727834,40.42553191489361,-1522.737975799828,1.030689369096443,0.9005990710076804,-3.874407134905013,-3.3291655453198765,-6088.74166514994,7.0,11.0,1.0,8.0,2550.6779758000002,0.27455836389784716,-0.07832327690431828,-0.31632990757794294,-0.5243961277497375,-6328.395100949836,34.0,25.0,0.2141073297230211,-0.13699445295044693,94.0,-0.04664562774117327,-619.234028100004
