entry,window,variant,base_n,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
C,2025,base,11,11,0.45208766659445027,-0.2286264384628145,27.27272727272727,-880.3299455689471,1.7250994988038355,0.7729087109632472,-2.4712443687321075,-2.4712443687321075,-2414.297025412959,4.0,3.0,1.0,3.0,437.304945569,0.6407730266968603,-0.44106639409521337,-1.089266734229713,-2.4712443687321075,-3793.4261545049676,3.0,2.0,1.879989716575736,-0.2286264384628145
C,2025,removed,11,3,-1.1610311863362877,-0.7832227518139406,0.0,-2016.771268589987,0.0,0.0,-2.4712443687321075,-2.4712443687321075,-2016.771268589987,3.0,2.0,1.0,2.0,139.62126859000003,-0.9838521870768981,-1.6272335602730241,,,,1.0,0.0,,
C,2025,kept,11,8,1.0570072364434768,-0.16135975449096546,37.5,1136.4413230210396,3.5053306063876044,1.6110637959931104,-1.473635485178249,-1.473635485178249,-1776.6548859149802,3.0,3.0,1.0,3.0,297.68367697900004,1.2500074818620197,-0.13251005456332443,-1.017502282123139,,-1776.6548859149802,2.0,2.0,3.943761415633054,
C,2026,base,9,9,0.3805616087601201,-0.791948501682267,44.44444444444444,1608.03585156605,1.4538249304359994,1.3471400026707703,-3.084037157135793,-3.084037157135793,-3270.496705964984,3.0,1.0,1.0,2.0,429.494148434,0.560504071377927,-0.3241344471200138,-1.6887836583872762,,-4154.783172443982,3.0,4.0,2.743034403518113,
C,2026,removed,9,0,,,,,,,,,,,,,,,,,,,,,,,
C,2026,kept,9,9,0.3805616087601201,-0.791948501682267,44.44444444444444,1608.03585156605,1.4538249304359994,1.3471400026707703,-3.084037157135793,-3.084037157135793,-3270.496705964984,3.0,1.0,1.0,2.0,429.494148434,0.560504071377927,-0.3241344471200138,-1.6887836583872762,,-4154.783172443982,3.0,4.0,2.743034403518113,
WF_ENTRY,main2022,base,172,172,-0.02731349621673619,-0.2971479430611468,34.30232558139535,-1124.2614180526552,0.9541564316203467,0.9538835562345472,-3.874407134905013,-2.965515378621491,-6316.769705299841,11.0,32.0,5.0,38.0,4576.466418053,0.22352456005684754,-0.08234824340801002,-0.22874732104315285,-0.32987076477822597,-9310.97512497667,40.0,35.0,0.07392702077141138,-0.13059919009939627
WF_ENTRY,main2022,removed,172,84,-0.09048982547900251,-0.36994251117996113,34.523809523809526,-3807.340790439836,0.8761008426655085,0.7259881833435661,-3.874407134905013,-3.3291655453198765,-5437.588489949891,7.0,13.0,3.0,7.0,2426.31579044,0.1542891561191461,-0.18404108662244573,-0.4105730351155527,-0.5901564173360836,-8442.187442339846,25.0,21.0,0.1144896504602933,-0.2133708384801254
WF_ENTRY,main2022,kept,172,88,0.03299118171542714,-0.2787273004382699,34.090909090909086,2683.0793723871825,1.070590363597459,1.255922602342235,-3.084037157135793,-2.0993131202153537,-3270.496705964984,11.0,27.0,5.0,37.0,2150.1506276130003,0.2896129001791989,-0.07448740554636196,-0.24883347083388324,-0.378667325017175,-5176.3396999148545,15.0,14.0,0.1614432480967995,-0.13021298048891725
WF_ENTRY,early2022_2023,base,135,135,-0.1540914844999183,-0.3025512214705132,31.851851851851855,-3563.326871249794,0.738448790612881,0.7485710263575678,-3.874407134905013,-3.0191938402465017,-6316.769705299841,11.0,23.0,2.0,26.0,3360.6068712500005,0.1124882571520616,-0.21251205415608773,-0.35104980647216477,-0.45498223960098355,-8198.1735231498,29.0,22.0,-0.03197325139145847,-0.2319251769182563
WF_ENTRY,early2022_2023,removed,135,80,-0.03217117950736607,-0.36043851937686067,36.25,-1469.2566479498512,0.9543039249650332,0.8728656119667985,-3.874407134905013,-3.489924165242137,-5437.588489949891,7.0,10.0,1.0,4.0,2266.03164795,0.21573308777550385,-0.12972100265843126,-0.3654375839264231,-0.5520589129031893,-6104.103299849859,23.0,21.0,0.1876284448801346,-0.15374272954117651
WF_ENTRY,early2022_2023,kept,135,55,-0.33143010994363065,-0.2929934367456236,25.454545454545453,-2094.0702232999424,0.21470590477053778,0.1993856395498947,-2.216718285201712,-1.6762305382509988,-2094.0702232999424,11.0,18.0,2.0,25.0,1094.5752233000003,-0.0376860419365817,-0.35610854135049447,-0.43417780448400917,-0.5125768675254636,-2476.198963449945,6.0,1.0,-0.21877916500086425,-0.320426498385422
WF_ENTRY,recent2024,base,37,37,0.43525483941109044,-0.2286264384628145,43.24324324324324,2439.0654531971395,1.7019414394331187,1.2389728678360303,-3.084037157135793,-2.7776407629339506,-4045.735128670905,4.0,9.0,3.0,12.0,1215.8595468029998,0.6286570166013368,0.18668891068664614,-0.23287415662373612,-0.6049943068180329,-5420.353619104898,11.0,13.0,0.8386735719499857,0.1215241567492459
WF_ENTRY,recent2024,removed,37,4,-1.2568627449117316,-1.1637900862260022,0.0,-2338.084142489985,0.0,0.0,-2.4712443687321075,-2.4712443687321075,-2338.084142489985,4.0,3.0,2.0,3.0,160.28414249000002,-1.0745894770080089,-1.5996081803947038,,,,2.0,0.0,,
WF_ENTRY,recent2024,kept,37,33,0.64036000114719,-0.1134401159076019,48.484848484848484,4777.149595687124,2.179547363598918,1.6071333721606826,-3.084037157135793,-2.621103273141329,-3270.496705964984,3.0,9.0,3.0,12.0,1055.575404313,0.8351111370388334,0.36713286763644337,-0.08659007258259385,-0.49162588280173763,-3082.2694766149134,9.0,13.0,1.0957350250115456,0.30974689696319013
WF_ENTRY,2022,base,41,41,-0.2754934584011606,-0.30130244937667,31.70731707317073,-1162.441988549964,0.2688125528596618,0.23697685076388622,-1.562323861056031,-1.3232988730859534,-1333.6832057999723,10.0,12.0,1.0,18.0,811.34198855,0.0323628085112811,-0.307410924511865,-0.39712180370090716,-0.49728997137252373,-1415.8225854999678,3.0,1.0,-0.1508120241186505,-0.2719479357114997
WF_ENTRY,2022,removed,41,0,,,,,,,,,,,,,,,,,,,,,,,
WF_ENTRY,2022,kept,41,41,-0.2754934584011606,-0.30130244937667,31.70731707317073,-1162.441988549964,0.2688125528596618,0.23697685076388622,-1.562323861056031,-1.3232988730859534,-1333.6832057999723,10.0,12.0,1.0,18.0,811.34198855,0.0323628085112811,-0.307410924511865,-0.39712180370090716,-0.49728997137252373,-1415.8225854999678,3.0,1.0,-0.1508120241186505,-0.2719479357114997
WF_ENTRY,2023,base,94,94,-0.10113955971320625,-0.34987245448194426,31.914893617021278,-2400.8848826998296,0.851652305263795,0.8101891921675896,-3.874407134905013,-3.3291655453198765,-5437.588489949891,8.0,11.0,1.0,8.0,2549.2648827,0.14743659113367857,-0.18474605873621702,-0.3858566634486949,-0.5425898589961352,-7035.731534599838,26.0,21.0,0.08021021475907858,-0.21065970619445787
WF_ENTRY,2023,removed,94,80,-0.03217117950736607,-0.36043851937686067,36.25,-1469.2566479498512,0.9543039249650332,0.8728656119667985,-3.874407134905013,-3.489924165242137,-5437.588489949891,7.0,10.0,1.0,4.0,2266.03164795,0.21573308777550385,-0.12972100265843126,-0.3654375839264231,-0.5520589129031893,-6104.103299849859,23.0,21.0,0.1876284448801346,-0.15374272954117651
WF_ENTRY,2023,kept,94,14,-0.49524458946086447,-0.25675435837014055,7.142857142857142,-931.6282347499784,0.10706167938222527,0.14694676195956838,-2.216718285201712,-2.216718285201712,-931.6282347499784,8.0,6.0,1.0,7.0,283.23323475,-0.24282910396246557,-0.5972868615860405,-0.8226900271454114,-1.3229308774268778,-1043.7890812499875,3.0,0.0,-0.08494617847743807,-0.3088253995383854
WF_ENTRY,2024,base,17,17,0.4533182498135479,0.7217097884444075,52.94117647058824,1711.3595472000366,1.9026760926563493,2.0080656215494397,-2.158169389146864,-2.158169389146864,-734.7734253499889,3.0,5.0,1.0,7.0,349.0604528,0.6568982163636856,0.2948613814435307,-0.3458522558523593,-1.1657060660848801,-843.4125791499747,5.0,7.0,1.2245257465529267,0.4053816630823565
WF_ENTRY,2024,removed,17,1,-1.544357420638064,-1.544357420638064,0.0,-321.31287389999784,0.0,0.0,-1.544357420638064,-1.544357420638064,-321.31287389999784,1.0,1.0,1.0,1.0,20.6628739,-1.346801346801341,,,,,1.0,0.0,,
WF_ENTRY,2024,kept,17,16,0.5781729792167736,0.768543155094927,56.25,2032.6724211000344,2.322873294269825,2.4768529874236145,-2.158169389146864,-2.158169389146864,-692.0129530499953,3.0,5.0,1.0,7.0,328.3975789,0.7821294390614998,0.4174759682489704,-0.23689724087184058,-1.1025975069926828,-522.0997052499771,4.0,7.0,1.3984221141260742,0.5876676563880322
WF_ENTRY,2025,base,11,11,0.45208766659445027,-0.2286264384628145,27.27272727272727,-880.3299455689471,1.7250994988038355,0.7729087109632472,-2.4712443687321075,-2.4712443687321075,-2414.297025412959,4.0,3.0,1.0,3.0,437.304945569,0.6407730266968603,-0.44106639409521337,-1.089266734229713,-2.4712443687321075,-3793.4261545049676,3.0,2.0,1.879989716575736,-0.2286264384628145
WF_ENTRY,2025,removed,11,3,-1.1610311863362877,-0.7832227518139406,0.0,-2016.771268589987,0.0,0.0,-2.4712443687321075,-2.4712443687321075,-2016.771268589987,3.0,2.0,1.0,2.0,139.62126859000003,-0.9838521870768981,-1.6272335602730241,,,,1.0,0.0,,
WF_ENTRY,2025,kept,11,8,1.0570072364434768,-0.16135975449096546,37.5,1136.4413230210396,3.5053306063876044,1.6110637959931104,-1.473635485178249,-1.473635485178249,-1776.6548859149802,3.0,3.0,1.0,3.0,297.68367697900004,1.2500074818620197,-0.13251005456332443,-1.017502282123139,,-1776.6548859149802,2.0,2.0,3.943761415633054,
WF_ENTRY,2026,base,9,9,0.3805616087601201,-0.791948501682267,44.44444444444444,1608.03585156605,1.4538249304359994,1.3471400026707703,-3.084037157135793,-3.084037157135793,-3270.496705964984,3.0,1.0,1.0,2.0,429.494148434,0.560504071377927,-0.3241344471200138,-1.6887836583872762,,-4154.783172443982,3.0,4.0,2.743034403518113,
WF_ENTRY,2026,removed,9,0,,,,,,,,,,,,,,,,,,,,,,,
WF_ENTRY,2026,kept,9,9,0.3805616087601201,-0.791948501682267,44.44444444444444,1608.03585156605,1.4538249304359994,1.3471400026707703,-3.084037157135793,-3.084037157135793,-3270.496705964984,3.0,1.0,1.0,2.0,429.494148434,0.560504071377927,-0.3241344471200138,-1.6887836583872762,,-4154.783172443982,3.0,4.0,2.743034403518113,
