entry,exit,slip,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
A,0935_S0,0.001,47,0.1369819419423836,-0.43629356892298543,42.5531914893617,-1428.4929387077634,1.1635370251184878,0.905133954935238,-5.23997064881196,-3.5651085460555234,-6034.129997077855,4,28,4,35,1612.812938708,0.4360679453828894,-0.041743189420750754,-0.46843292237508566,-0.8002477631104531,-8727.022640759782,18,15,0.527210360443196,-0.10728375330895656
A,0935_S0,0.002,47,-0.06307285250921595,-0.6352224507610869,42.5531914893617,-5063.2016934160165,0.9336568631670213,0.7063517620458313,-5.429302974405305,-3.7577868043458706,-8173.1665161559995,4,28,4,35,1611.8416934160002,0.4360679453828894,-0.2414405188648818,-0.6672758855317715,-0.9984248724432203,-12012.601321520016,20,13,0.3263782769813145,-0.30684528354556895
A,0935_S1,0.001,47,0.0543764961564418,-1.0021638851639614,42.5531914893617,-3514.886296867763,1.0590903838843462,0.7949833421330029,-4.763462853394223,-3.3512547465518545,-6972.58392775386,4,28,4,35,1611.296296868,0.353218410520761,-0.1261444057672565,-0.560872349802211,-0.9051790050547577,-10813.415998919783,24,15,0.4123587645897417,-0.2376558350885534
A,0935_S1,0.002,47,-0.1455132487731317,-1.1999624464569398,42.5531914893617,-7147.506569736027,0.8591553176206977,0.6301746749408639,-4.953747141413013,-3.54435989060667,-9110.681053508008,4,28,4,35,1610.326569736,0.353218410520761,-0.32567309765627406,-0.7595306146842488,-1.1031464568865728,-14096.906197840026,24,13,0.21175611678921388,-0.43695692484471016
A,0935_S2,0.001,47,0.04813431788690625,-0.43629356892298543,42.5531914893617,-3485.165099815765,1.0519546478528412,0.7963639035527428,-4.763462853394223,-3.3512547465518545,-6633.143144317855,4,28,4,35,1611.5450998159997,0.34697753729920616,-0.13252228356439077,-0.5678576445324056,-0.9131082585322758,-10783.694801867785,19,15,0.4071691655153622,-0.24354673133514626
A,0935_S2,0.002,47,-0.15174295913912178,-0.6352224507610869,42.5531914893617,-7117.81512363203,0.8540057994678952,0.631144296127149,-4.953747141413013,-3.54435989060667,-8771.580050636016,4,28,4,35,1610.575123632,0.34697753729920616,-0.33203823650848124,-0.7665019572366661,-1.1110598727568846,-14067.21475173603,21,13,0.20657690542144644,-0.44283602964055435
A,1000_S0,0.001,47,0.5269017349624484,-0.15586343221836763,46.808510638297875,7336.673874538188,1.5730635198214973,1.4843067560152852,-4.6474529210559865,-3.711191393850521,-4849.826759287989,4,28,4,35,1618.8661254620001,0.8271222910104733,0.327585205478178,-0.20351056017130137,-0.7074825009517204,-3674.436363563834,18,18,0.997629312096615,0.23212448750346193
A,1000_S0,0.002,47,0.32606791298673254,-0.35535261514937566,42.5531914893617,3693.191179075945,1.3161394668815167,1.2139114641015885,-4.837967881283581,-3.903577688944647,-5414.451066416018,5,28,4,35,1617.888820924,0.8271222910104733,0.12715004368421898,-0.40288282853309987,-0.9058449829178533,-6794.384403128048,19,18,0.7958573946208387,0.03188486122455678
A,1000_S1,0.001,47,0.37958559380392914,-1.237441239348358,40.42553191489361,3453.8588003142095,1.3825956528533239,1.1897217062519878,-4.763462853394223,-3.3512547465518545,-3575.5729924579728,5,28,4,35,1615.571199686,0.6793230933547928,0.17706653951186485,-0.36836433718202527,-0.8716351427222588,-7557.25143778782,27,17,0.7762832310047872,-0.019133226168342524
A,1000_S1,0.002,47,0.17904610908086757,-1.4347694233420518,40.42553191489361,-185.73719337203295,1.1614248060346015,0.9908917689998764,-4.953747141413013,-3.54435989060667,-5490.279169904019,5,28,4,35,1614.597193372,0.6793230933547928,-0.023067886393512576,-0.5674072281420439,-1.0696696304901605,-10673.312775576027,27,17,0.5749534934353562,-0.21887091849950435
