scenario,event,increment,start,end
S1_F1_open_b10_e0_d0_exdate_reference,44,-58.70070019999912,2023-01-16,2023-02-01
S1_F1_open_b10_e0_d0_exdate_reference,45,11.219050500001686,2023-02-02,2023-02-09
S1_F1_open_b10_e0_d0_exdate_reference,46,20.534780600000886,2023-02-10,2023-02-20
S1_F1_open_b10_e0_d0_exdate_reference,47,30.24298070000077,2023-02-21,2023-03-02
S1_F1_open_b10_e0_d0_exdate_reference,48,-174.45733130000008,2023-03-03,2023-03-13
S1_F1_open_b10_e0_d0_exdate_reference,49,-84.61763669998436,2023-03-14,2023-04-20
S1_F1_open_b10_e0_d0_exdate_reference,5,-442.82224779999524,2020-04-03,2020-04-14
S1_F1_open_b10_e0_d0_exdate_reference,50,-116.77751049999642,2023-04-21,2023-05-25
S1_F1_open_b10_e0_d0_exdate_reference,51,-705.7073857999967,2023-05-26,2023-06-09
S1_F1_open_b10_e0_d0_exdate_reference,52,576.4090174000085,2023-06-12,2023-07-13
S1_F1_open_b10_e0_d0_exdate_reference,53,168.07576370000606,2023-07-14,2023-08-04
S1_F1_open_b10_e0_d0_exdate_reference,54,294.9691838000035,2023-08-07,2023-08-22
S1_F1_open_b10_e0_d0_exdate_reference,55,-1235.5970715999938,2023-08-23,2023-09-06
S1_F1_open_b10_e0_d0_exdate_reference,56,343.06073460000334,2023-09-07,2023-09-22
S1_F1_open_b10_e0_d0_exdate_reference,57,-258.80315699999846,2023-09-25,2023-10-30
S1_F1_open_b10_e0_d0_exdate_reference,58,-87.12744039999598,2023-10-31,2023-11-17
S1_F1_open_b10_e0_d0_exdate_reference,59,-120.68504070000199,2023-11-20,2023-11-28
S1_F1_open_b10_e0_d0_exdate_reference,6,-228.16241819997958,2020-04-15,2020-05-19
S1_F1_open_b10_e0_d0_exdate_reference,60,-177.79782630000045,2023-11-29,2023-12-08
S1_F1_open_b10_e0_d0_exdate_reference,61,-69.29920519999541,2023-12-11,2023-12-19
S1_F1_open_b10_e0_d0_exdate_reference,62,-46.65872499999932,2023-12-20,2024-01-11
S1_F1_open_b10_e0_d0_exdate_reference,63,-399.7773071999982,2024-01-12,2024-02-19
S1_F1_open_b10_e0_d0_exdate_reference,64,704.1820525999974,2024-02-20,2024-02-27
S1_F1_open_b10_e0_d0_exdate_reference,65,1083.065797800009,2024-02-28,2024-03-18
S1_F1_open_b10_e0_d0_exdate_reference,66,135.93965710000703,2024-03-19,2024-04-26
S1_F1_open_b10_e0_d0_exdate_reference,67,-852.5659477999943,2024-04-29,2024-05-17
S1_F1_open_b10_e0_d0_exdate_reference,68,204.22151280000253,2024-05-20,2024-06-06
S1_F1_open_b10_e0_d0_exdate_reference,69,-41.77303469999242,2024-06-07,2024-07-01
S1_F1_open_b10_e0_d0_exdate_reference,7,-225.30859139999666,2020-05-20,2020-06-16
S1_F1_open_b10_e0_d0_exdate_reference,70,551.8809201000113,2024-07-02,2024-07-31
S1_F1_open_b10_e0_d0_exdate_reference,71,970.6579954000044,2024-08-01,2024-08-08
S1_F1_open_b10_e0_d0_exdate_reference,72,101.90239780000047,2024-08-09,2024-08-23
S1_F1_open_b10_e0_d0_exdate_reference,73,93.0816483000126,2024-08-26,2024-09-24
S1_F1_open_b10_e0_d0_exdate_reference,74,-989.476616299984,2024-09-25,2024-11-07
S1_F1_open_b10_e0_d0_exdate_reference,75,780.6811593000057,2024-11-08,2024-11-19
S1_F1_open_b10_e0_d0_exdate_reference,76,329.93600399999923,2024-11-20,2024-11-27
S1_F1_open_b10_e0_d0_exdate_reference,77,-65.05107499999576,2024-11-28,2024-12-05
S1_F1_open_b10_e0_d0_exdate_reference,78,-86.9609001999961,2024-12-06,2024-12-19
S1_F1_open_b10_e0_d0_exdate_reference,79,-269.75902569999016,2024-12-20,2025-01-07
S1_F1_open_b10_e0_d0_exdate_reference,8,-828.9632345999962,2020-06-17,2020-07-29
S1_F1_open_b10_e0_d0_exdate_reference,80,139.84720150001158,2025-01-08,2025-02-21
S1_F1_open_b10_e0_d0_exdate_reference,81,341.93650909999997,2025-02-24,2025-03-04
S1_F1_open_b10_e0_d0_exdate_reference,82,-409.90811219998795,2025-03-05,2025-03-24
S1_F1_open_b10_e0_d0_exdate_reference,83,18.405855800003337,2025-03-25,2025-04-09
S1_F1_open_b10_e0_d0_exdate_reference,84,255.0628831000031,2025-04-10,2025-04-21
S1_F1_open_b10_e0_d0_exdate_reference,85,-1394.4520060999967,2025-04-22,2025-05-29
S1_F1_open_b10_e0_d0_exdate_reference,86,50.67664670000522,2025-05-30,2025-06-18
S1_F1_open_b10_e0_d0_exdate_reference,87,-225.54207599999427,2025-06-19,2025-07-03
S1_F1_open_b10_e0_d0_exdate_reference,88,-382.73867579999205,2025-07-04,2025-07-28
S1_F1_open_b10_e0_d0_exdate_reference,89,824.198600462023,2025-07-29,2025-09-10
S1_F1_open_b10_e0_d0_exdate_reference,9,-43.417109800004255,2020-07-30,2020-08-12
S1_F1_open_b10_e0_d0_exdate_reference,90,-4.556024735989922,2025-09-11,2025-09-22
S1_F1_open_b10_e0_d0_exdate_reference,91,1874.6227179780108,2025-09-23,2025-10-15
S1_F1_open_b10_e0_d0_exdate_reference,92,8382.95046710402,2025-10-16,2025-11-28
S1_F1_open_b10_e0_d0_exdate_reference,93,-186.91075390798505,2025-12-01,2025-12-09
S1_F1_open_b10_e0_d0_exdate_reference,94,1019.419191479974,2025-12-10,2025-12-17
S1_F1_open_b10_e0_d0_exdate_reference,95,-1515.7191141180083,2025-12-18,2026-01-09
S1_F1_open_b10_e0_d0_exdate_reference,96,1205.1573222660227,2026-01-12,2026-01-30
S1_F1_open_b10_e0_d0_exdate_reference,97,-776.0741421480052,2026-02-02,2026-02-25
S1_F1_open_b10_e0_d0_exdate_reference,98,1490.1922649100015,2026-02-26,2026-03-09
S1_F1_open_b10_e0_d0_exdate_reference,99,-4930.585317905949,2026-03-10,2026-05-11
S1_F1_post0935_b5_e0_d0_exdate_reference,0,-137.5328109000002,2020-01-02,2020-01-09
S1_F1_post0935_b5_e0_d0_exdate_reference,1,1909.0583065000064,2020-01-10,2020-02-10
S1_F1_post0935_b5_e0_d0_exdate_reference,10,218.25717800000348,2020-08-13,2020-08-27
S1_F1_post0935_b5_e0_d0_exdate_reference,100,410.35916476810235,2026-05-12,2026-07-09
S1_F1_post0935_b5_e0_d0_exdate_reference,101,-1605.9388108809799,2026-07-10,2026-08-04
S1_F1_post0935_b5_e0_d0_exdate_reference,102,-1158.7043476079853,2026-08-05,2026-08-14
S1_F1_post0935_b5_e0_d0_exdate_reference,103,638.3213327520061,2026-08-17,2026-08-26
S1_F1_post0935_b5_e0_d0_exdate_reference,104,-1363.6382346539758,2026-08-27,2026-09-11
S1_F1_post0935_b5_e0_d0_exdate_reference,11,-144.81928949998837,2020-08-28,2020-10-12
S1_F1_post0935_b5_e0_d0_exdate_reference,12,191.70936730000176,2020-10-13,2020-10-20
S1_F1_post0935_b5_e0_d0_exdate_reference,13,-440.12128249999296,2020-10-21,2020-11-13
S1_F1_post0935_b5_e0_d0_exdate_reference,14,100.94874139999956,2020-11-16,2020-12-01
S1_F1_post0935_b5_e0_d0_exdate_reference,15,-885.1176095999799,2020-12-02,2021-02-04
S1_F1_post0935_b5_e0_d0_exdate_reference,16,-28.09356299998035,2021-02-05,2021-03-16
S1_F1_post0935_b5_e0_d0_exdate_reference,17,-67.65082529999927,2021-03-17,2021-03-30
S1_F1_post0935_b5_e0_d0_exdate_reference,18,41.46756620000451,2021-03-31,2021-04-19
S1_F1_post0935_b5_e0_d0_exdate_reference,19,-286.03967449998527,2021-04-20,2021-06-17
S1_F1_post0935_b5_e0_d0_exdate_reference,2,436.7532563000059,2020-02-11,2020-03-10
S1_F1_post0935_b5_e0_d0_exdate_reference,20,-1.1550492999958806,2021-06-18,2021-07-05
S1_F1_post0935_b5_e0_d0_exdate_reference,21,-14.932684799998242,2021-07-06,2021-07-15
S1_F1_post0935_b5_e0_d0_exdate_reference,22,-187.37319569999818,2021-07-16,2021-07-30
