date,clock,missing,reference,cash_before,tax_reserve,receivable,full_cost,cash_gap,scenario
2023-02-22,09:25,100,9.81,780.236187430236,0.0,0.0,986.9908198099998,206.75463237976385,S0_open_b10_e0_d0_main
2023-02-23,09:25,100,9.83,780.236187430236,0.0,0.0,988.99283983,208.756652399764,S0_open_b10_e0_d0_main
2023-02-24,09:25,100,9.66,780.236187430236,0.0,0.0,971.9756696599999,191.7394822297639,S0_open_b10_e0_d0_main
2023-02-27,09:25,100,9.58,780.236187430236,0.0,0.0,963.9675895799999,183.73140214976388,S0_open_b10_e0_d0_main
2023-02-28,09:25,100,9.61,780.236187430236,0.0,0.0,966.9706196099999,186.73443217976387,S0_open_b10_e0_d0_main
2023-03-01,09:25,100,9.61,780.236187430236,0.0,0.0,966.9706196099999,186.73443217976387,S0_open_b10_e0_d0_main
2023-03-02,09:25,100,9.97,780.236187430236,0.0,0.0,1003.00697997,222.770792539764,S0_open_b10_e0_d0_main
2023-03-03,09:25,100,10.28,780.236187430236,0.0,0.0,1034.0382902799997,253.80210284976374,S0_open_b10_e0_d0_main
2023-03-06,09:25,100,11.5,780.236187430236,0.0,0.0,1156.1615115,375.925324069764,S0_open_b10_e0_d0_main
2023-03-07,09:25,100,11.06,780.236187430236,0.0,0.0,1112.1170710599997,331.88088362976373,S0_open_b10_e0_d0_main
2023-03-08,09:25,100,10.43,780.236187430236,0.0,0.0,1049.05344043,268.8172529997639,S0_open_b10_e0_d0_main
2023-03-09,09:25,100,10.7,780.236187430236,0.0,0.0,1076.0807106999998,295.84452326976384,S0_open_b10_e0_d0_main
2023-03-10,09:25,100,11.0,780.236187430236,0.0,0.0,1106.111011,325.874823569764,S0_open_b10_e0_d0_main
2023-03-13,09:25,100,10.88,780.236187430236,0.0,0.0,1094.09889088,313.862703449764,S0_open_b10_e0_d0_main
2023-03-14,09:25,100,11.6,780.236187430236,0.0,0.0,1166.1716115999998,385.9354241697638,S0_open_b10_e0_d0_main
2023-03-15,09:25,100,11.96,780.236187430236,0.0,0.0,1202.20797196,421.9717845297639,S0_open_b10_e0_d0_main
2023-03-16,09:25,100,12.0,780.236187430236,0.0,0.0,1206.2120119999997,425.97582456976374,S0_open_b10_e0_d0_main
2023-03-17,09:25,100,12.55,780.236187430236,0.0,0.0,1261.2675625499999,481.0313751197639,S0_open_b10_e0_d0_main
2023-03-20,09:25,100,14.39,780.236187430236,0.0,0.0,1445.4534043899998,665.2172169597638,S0_open_b10_e0_d0_main
2023-03-21,09:25,100,14.89,780.236187430236,0.0,0.0,1495.5039048899998,715.2677174597638,S0_open_b10_e0_d0_main
2023-03-22,09:25,100,15.0,780.236187430236,0.0,0.0,1506.5150149999997,726.2788275697637,S0_open_b10_e0_d0_main
2023-03-23,09:25,100,16.69,780.236187430236,0.0,0.0,1675.6857066900002,895.4495192597642,S0_open_b10_e0_d0_main
2023-03-24,09:25,100,16.85,780.236187430236,0.0,0.0,1691.70186685,911.465679419764,S0_open_b10_e0_d0_main
2023-03-27,09:25,100,17.08,780.236187430236,0.0,0.0,1714.7250970799996,934.4889096497636,S0_open_b10_e0_d0_main
2023-03-28,09:25,100,17.08,780.236187430236,0.0,0.0,1714.7250970799996,934.4889096497636,S0_open_b10_e0_d0_main
2023-03-29,09:25,100,16.7,780.236187430236,0.0,0.0,1676.6867166999998,896.4505292697638,S0_open_b10_e0_d0_main
2023-03-30,09:25,100,16.21,780.236187430236,0.0,0.0,1627.6372262099999,847.4010387797639,S0_open_b10_e0_d0_main
2023-03-31,09:25,100,16.7,780.236187430236,0.0,0.0,1676.6867166999998,896.4505292697638,S0_open_b10_e0_d0_main
2023-04-03,09:25,100,17.09,780.236187430236,0.0,0.0,1715.72610709,935.4899196597639,S0_open_b10_e0_d0_main
2023-04-04,09:25,100,17.24,780.236187430236,0.0,0.0,1730.7412572399994,950.5050698097634,S0_open_b10_e0_d0_main
2023-04-06,09:25,100,18.0,780.236187430236,0.0,0.0,1806.8180179999997,1026.5818305697637,S0_open_b10_e0_d0_main
2023-04-07,09:25,100,18.78,780.236187430236,0.0,0.0,1884.8967987799997,1104.6606113497637,S0_open_b10_e0_d0_main
2023-04-10,09:25,100,18.06,780.236187430236,0.0,0.0,1812.8240780599997,1032.5878906297637,S0_open_b10_e0_d0_main
2023-04-11,09:25,100,17.64,780.236187430236,0.0,0.0,1770.7816576399998,990.5454702097638,S0_open_b10_e0_d0_main
2023-04-12,09:25,100,17.52,780.236187430236,0.0,0.0,1758.7695375199996,978.5333500897636,S0_open_b10_e0_d0_main
2023-04-13,09:25,100,18.25,780.236187430236,0.0,0.0,1831.8432682499997,1051.6070808197637,S0_open_b10_e0_d0_main
2023-04-14,09:25,100,17.58,780.236187430236,0.0,0.0,1764.7755975799996,984.5394101497636,S0_open_b10_e0_d0_main
2023-04-17,09:25,100,17.99,780.236187430236,0.0,0.0,1805.8170079899994,1025.5808205597634,S0_open_b10_e0_d0_main
2023-04-18,09:25,100,17.88,780.236187430236,0.0,0.0,1794.8058978799997,1014.5697104497638,S0_open_b10_e0_d0_main
2023-04-19,09:25,100,19.08,780.236187430236,0.0,0.0,1914.9270990799996,1134.6909116497636,S0_open_b10_e0_d0_main
2023-04-20,09:25,100,17.27,780.236187430236,0.0,0.0,1733.7442872699999,953.5080998397639,S0_open_b10_e0_d0_main
2023-04-21,09:25,100,19.5,780.236187430236,0.0,0.0,1956.9695194999997,1176.7333320697637,S0_open_b10_e0_d0_main
2023-04-24,09:25,100,18.84,780.236187430236,0.0,0.0,1890.9028588399997,1110.6666714097637,S0_open_b10_e0_d0_main
2023-04-25,09:25,100,18.06,780.236187430236,0.0,0.0,1812.8240780599997,1032.5878906297637,S0_open_b10_e0_d0_main
2023-04-26,09:25,100,18.78,780.236187430236,0.0,0.0,1884.8967987799997,1104.6606113497637,S0_open_b10_e0_d0_main
2023-04-27,09:25,100,15.9,780.236187430236,0.0,0.0,1596.6059159,816.3697284697639,S0_open_b10_e0_d0_main
2023-04-28,09:25,100,16.13,780.236187430236,0.0,0.0,1619.6291461299998,839.3929586997638,S0_open_b10_e0_d0_main
2023-05-04,09:25,100,15.98,780.236187430236,0.0,0.0,1604.6139959799998,824.3778085497638,S0_open_b10_e0_d0_main
2023-05-05,09:25,100,15.33,780.236187430236,0.0,0.0,1539.5483453299998,759.3121578997639,S0_open_b10_e0_d0_main
2023-05-08,09:25,100,14.73,780.236187430236,0.0,0.0,1479.4877447299998,699.2515572997638,S0_open_b10_e0_d0_main
2023-05-09,09:25,100,14.68,780.236187430236,0.0,0.0,1474.48269468,694.2465072497639,S0_open_b10_e0_d0_main
2023-05-10,09:25,100,14.7,780.236187430236,0.0,0.0,1476.4847146999998,696.2485272697638,S0_open_b10_e0_d0_main
2023-05-11,09:25,100,14.51,780.236187430236,0.0,0.0,1457.4655245099998,677.2293370797638,S0_open_b10_e0_d0_main
2023-05-12,09:25,100,14.34,780.236187430236,0.0,0.0,1440.4483543399997,660.2121669097637,S0_open_b10_e0_d0_main
2023-05-15,09:25,100,14.62,780.236187430236,0.0,0.0,1468.4766346199997,688.2404471897637,S0_open_b10_e0_d0_main
2023-05-16,09:25,100,15.09,780.236187430236,0.0,0.0,1515.5241050899997,735.2879176597637,S0_open_b10_e0_d0_main
2023-05-17,09:25,100,14.85,780.236187430236,0.0,0.0,1491.49986485,711.263677419764,S0_open_b10_e0_d0_main
2023-05-18,09:25,100,15.91,780.236187430236,0.0,0.0,1597.60692591,817.370738479764,S0_open_b10_e0_d0_main
2023-05-19,09:25,100,16.5,780.236187430236,0.0,0.0,1656.6665165,876.430329069764,S0_open_b10_e0_d0_main
2023-05-22,09:25,100,16.01,780.236187430236,0.0,0.0,1607.61702601,827.380838579764,S0_open_b10_e0_d0_main
2023-05-23,09:25,100,15.38,780.236187430236,0.0,0.0,1544.5533953799998,764.3172079497638,S0_open_b10_e0_d0_main
2023-05-24,09:25,100,15.14,780.236187430236,0.0,0.0,1520.5291551399998,740.2929677097638,S0_open_b10_e0_d0_main
2023-05-25,09:25,100,16.0,780.236187430236,0.0,0.0,1606.616016,826.379828569764,S0_open_b10_e0_d0_main
2023-05-26,09:25,100,16.33,780.236187430236,0.0,0.0,1639.6493463299996,859.4131588997636,S0_open_b10_e0_d0_main
2023-05-29,09:25,100,17.29,780.236187430236,0.0,0.0,1735.7463072899998,955.5101198597638,S0_open_b10_e0_d0_main
2023-05-30,09:25,100,17.42,780.236187430236,0.0,0.0,1748.75943742,968.523249989764,S0_open_b10_e0_d0_main
2023-05-31,09:25,100,18.11,780.236187430236,0.0,0.0,1817.8291281099996,1037.5929406797636,S0_open_b10_e0_d0_main
2023-06-01,09:25,100,17.6,780.236187430236,0.0,0.0,1766.7776176,986.541430169764,S0_open_b10_e0_d0_main
2023-06-02,09:25,100,18.2,780.236187430236,0.0,0.0,1826.8382181999998,1046.6020307697638,S0_open_b10_e0_d0_main
