scenario,year,increment,fees,tax,deficit_days,sales
S1_F1_post0935_b5_e1_d0_extra_cost,2021,-2500.8435241999723,1076.5375242,50.0,0,46
S1_F1_post0935_b5_e1_d0_extra_cost,2022,-1889.1266782600123,843.72467826,100.0,0,42
S1_F1_post0935_b5_e1_d0_extra_cost,2023,-283.499397279973,715.05139728,110.0,0,29
S1_F1_post0935_b5_e1_d0_extra_cost,2024,3334.726825500031,802.8471745,116.0,0,37
S1_F1_post0935_b5_e1_d0_extra_cost,2025,8005.65178192364,1464.6202180764,128.0,0,46
S1_F1_post0935_b5_e1_d0_extra_cost,2026,-911.141302339558,1757.9433023396,196.0,0,35
S1_F1_post0935_b5_e2_d0_extra_cost,2020,788.8017718400515,1309.2742281600001,0.0,0,51
S1_F1_post0935_b5_e2_d0_extra_cost,2021,-2619.8357448999795,1076.4787449,50.0,0,46
S1_F1_post0935_b5_e2_d0_extra_cost,2022,-1971.6524079699848,843.68340797,100.0,0,42
S1_F1_post0935_b5_e2_d0_extra_cost,2023,-379.8658301599662,715.00983016,110.0,0,29
S1_F1_post0935_b5_e2_d0_extra_cost,2024,3168.6974797500225,802.8055202500001,116.0,0,37
S1_F1_post0935_b5_e2_d0_extra_cost,2025,7665.449297244235,1464.5347027558,128.0,0,46
S1_F1_post0935_b5_e2_d0_extra_cost,2026,-1355.5630223961489,1757.8320223962,196.0,0,35
S1_F1_post0935_b10_e1_d0_extra_cost,2020,176.58358431991292,1308.96441568,0.0,0,51
S1_F1_post0935_b10_e1_d0_extra_cost,2021,-3095.8046277000703,1076.2436277000002,50.0,0,46
S1_F1_post0935_b10_e1_d0_extra_cost,2022,-2301.7553268100382,843.5183268100001,100.0,0,42
S1_F1_post0935_b10_e1_d0_extra_cost,2023,-1993.2243759630164,333.0360759630001,49.50000000000001,152,14
S1_F1_post0935_b10_e1_d0_extra_cost,2024,-1058.0225293210024,39.058429321,0.0,235,2
S1_F1_post0935_b10_e1_d0_extra_cost,2025,-4073.4011110970023,43.563411097,0.0,233,2
S1_F1_post0935_b10_e1_d0_extra_cost,2026,-242.40000000000873,0.0,0.0,169,0
S1_F1_post0935_b10_e2_d0_extra_cost,2020,23.529037439966487,1308.8869625600003,0.0,0,51
S1_F1_post0935_b10_e2_d0_extra_cost,2021,-3214.7968484000467,1076.1848484000002,50.0,0,46
S1_F1_post0935_b10_e2_d0_extra_cost,2022,-2384.2810565200434,843.47705652,100.0,0,42
S1_F1_post0935_b10_e2_d0_extra_cost,2023,-1433.080805644011,295.440405644,49.50000000000001,148,13
S1_F1_post0935_b10_e2_d0_extra_cost,2024,-1272.886100980002,34.044100979999996,0.0,228,2
S1_F1_post0935_b10_e2_d0_extra_cost,2025,-4080.530023924006,43.561623924,0.0,233,2
S1_F1_post0935_b10_e2_d0_extra_cost,2026,-242.40000000000146,0.0,0.0,169,0
S1_F1_open_b5_e0_d0_locked_reference,2020,354.5260582000701,1309.4439418000002,0.0,0,51
S1_F1_open_b5_e0_d0_locked_reference,2021,-1731.5132969999322,1076.5832970000001,50.0,0,46
S1_F1_open_b5_e0_d0_locked_reference,2022,-1216.300845999951,843.760846,100.0,0,42
S1_F1_open_b5_e0_d0_locked_reference,2023,-1347.72457019996,715.1045702,110.0,0,29
S1_F1_open_b5_e0_d0_locked_reference,2024,3080.5419691500792,802.8930308500001,116.0,0,37
S1_F1_open_b5_e0_d0_locked_reference,2025,10487.235578181135,1464.3944218190002,128.0,0,46
S1_F1_open_b5_e0_d0_locked_reference,2026,1644.642365114225,1757.7476348860005,196.0,0,35
S1_F1_open_b10_e0_d0_locked_reference,2020,-411.11668359989926,1309.0566836000003,0.0,0,51
S1_F1_open_b10_e0_d0_locked_reference,2021,-2326.149393999922,1076.289394,50.0,0,46
S1_F1_open_b10_e0_d0_locked_reference,2022,-1628.634491999961,843.554492,100.0,0,42
S1_F1_open_b10_e0_d0_locked_reference,2023,-1487.4143227299392,689.2213227300001,110.0,27,27
S1_F1_open_b10_e0_d0_locked_reference,2024,-1165.7049132400007,39.06091324,0.0,231,2
