scenario,year,increment,fees,tax,deficit_days,sales
S1_F1_open_b10_e0_d0_locked_reference,2025,-4066.7999999999993,0.0,0.0,243,0
S1_F1_open_b10_e0_d0_locked_reference,2026,-300.0000000000073,0.0,0.0,169,0
S1_F1_post0935_b5_e0_d0_locked_reference,2020,1094.9108656000826,1309.4291343999998,0.0,0,51
S1_F1_post0935_b5_e0_d0_locked_reference,2021,-2381.851303499916,1076.5963035000002,50.0,0,46
S1_F1_post0935_b5_e0_d0_locked_reference,2022,-1806.6009485499544,843.7659485500001,100.0,0,42
S1_F1_post0935_b5_e0_d0_locked_reference,2023,-187.13296439994338,715.0929644,110.0,0,29
S1_F1_post0935_b5_e0_d0_locked_reference,2024,3500.7561712500683,802.8888287500001,116.0,0,37
S1_F1_post0935_b5_e0_d0_locked_reference,2025,8345.854266603164,1464.7057333970001,128.0,0,46
S1_F1_post0935_b5_e0_d0_locked_reference,2026,-466.719582282778,1758.0545822830002,196.0,0,35
S1_F1_post0935_b10_e0_d0_locked_reference,2020,329.6381312001067,1309.0418688,0.0,0,51
S1_F1_post0935_b10_e0_d0_locked_reference,2021,-2976.812406999932,1076.3024070000001,50.0,0,46
S1_F1_post0935_b10_e0_d0_locked_reference,2022,-2219.2295970999676,843.5595971,100.0,0,42
S1_F1_post0935_b10_e0_d0_locked_reference,2023,-1254.5814317199893,227.14943172,0.0,170,10
S1_F1_post0935_b10_e0_d0_locked_reference,2024,-646.5,0.0,0.0,242,0
S1_F1_post0935_b10_e0_d0_locked_reference,2025,-4119.0,0.0,0.0,243,0
S1_F1_post0935_b10_e0_d0_locked_reference,2026,-300.0000000000073,0.0,0.0,169,0
